;pollutant_id;pollutant_averaging;date;pollutant_value;pollutant_unit;station_id;X;Y;ID_estacion;method_id
5396;NO2;1;01/01/2018 0:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5397;NO2;1;01/01/2018 1:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5398;NO2;1;01/01/2018 2:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5399;NO2;1;01/01/2018 3:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5400;NO2;1;01/01/2018 4:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5401;NO2;1;01/01/2018 5:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5402;NO2;1;01/01/2018 6:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5403;NO2;1;01/01/2018 7:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5404;NO2;1;01/01/2018 8:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5405;NO2;1;01/01/2018 9:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5406;NO2;1;01/01/2018 10:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5407;NO2;1;01/01/2018 11:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5408;NO2;1;01/01/2018 12:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5409;NO2;1;01/01/2018 13:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5410;NO2;1;01/01/2018 14:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5411;NO2;1;01/01/2018 15:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5412;NO2;1;01/01/2018 16:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5413;NO2;1;01/01/2018 17:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5414;NO2;1;01/01/2018 18:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5415;NO2;1;01/01/2018 19:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5416;NO2;1;01/01/2018 20:00;17;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5417;NO2;1;01/01/2018 21:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5418;NO2;1;01/01/2018 22:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5419;NO2;1;01/01/2018 23:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5420;NO2;1;02/01/2018 0:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5421;NO2;1;02/01/2018 1:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5422;NO2;1;02/01/2018 2:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5423;NO2;1;02/01/2018 3:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5424;NO2;1;02/01/2018 4:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5425;NO2;1;02/01/2018 5:00;49;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5426;NO2;1;02/01/2018 6:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5427;NO2;1;02/01/2018 7:00;34;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5428;NO2;1;02/01/2018 8:00;38;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5429;NO2;1;02/01/2018 9:00;32;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5430;NO2;1;02/01/2018 10:00;36;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5431;NO2;1;02/01/2018 11:00;30;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5432;NO2;1;02/01/2018 12:00;36;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5433;NO2;1;02/01/2018 13:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5434;NO2;1;02/01/2018 14:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5435;NO2;1;02/01/2018 15:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5436;NO2;1;02/01/2018 16:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5437;NO2;1;02/01/2018 17:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5438;NO2;1;02/01/2018 18:00;64;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5439;NO2;1;02/01/2018 19:00;74;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5440;NO2;1;02/01/2018 20:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5441;NO2;1;02/01/2018 21:00;53;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5442;NO2;1;02/01/2018 22:00;49;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5443;NO2;1;02/01/2018 23:00;62;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5444;NO2;1;03/01/2018 0:00;62;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5445;NO2;1;03/01/2018 1:00;32;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5446;NO2;1;03/01/2018 2:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5447;NO2;1;03/01/2018 3:00;17;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5448;NO2;1;03/01/2018 4:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5449;NO2;1;03/01/2018 5:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5450;NO2;1;03/01/2018 6:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5451;NO2;1;03/01/2018 7:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5452;NO2;1;03/01/2018 8:00;34;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5453;NO2;1;03/01/2018 9:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
